1,1,pli,1,CHART NO. 1
2,2,pli,2,INDONESIA ARCHIPELAGO AND SURROUND
3,3,pli,3,KEPULAUAN INDONESIA DAN SEKITARNYA KAWASAN TIMUR
4,4,pli,4,SUMATERA BAGIAN UTARA
5,5,pli,5R1#5R2#5,SELAT RAYA#TELUK RIGAIH DAN TELUK CALANG#SUMATERA-PANTAI BARAT
6,6,pli,6R2#6R4#6R5#6R1#6R3#6,TELUK SABANG#TELUK KRUENGRAYA#SPECIAL TERMINAL PT.LAFARGE CEMENT INDONESIA TBK (LHOKNGA
7,7,pli,7,SUMATERA-PANTAI BARAT LAUT
8,8,pli,8R1#8R2#8,PELABUHAN SIGLI#SAMALANGA#SUMATERA-PANTAI UTARA
9,9,pli,9,SUMATERA-PANTAI TIMUR
10,10,pli,10,SUMATERA-PANTAI TIMUR
11,11,pli,11,SUMATERA-EAST COAST
12,12,pli,12,SUMATERA-EAST COAST
13,13,pli,13R1#13,SELAT KUNGKUNG#SUMATERA-EAST COAST
14,13A,pli,13AR1#13A,PULAU KARIMUN BESAR
15,14,pli,14R1#14#14R2,SUNGAIPAKNING HARBOUR#SUMATERA-EAST COAST PASSAGE SELAT BENGKALIS TO SELAT PANJANG#SUNGAI SIAK
16,14A,pli,14A,SUMATERA PANTAI-TIMUR
17,15,pli,15R1#15R2,TELUK LANGSA
18,16,pli,16R1#16,PELABUHAN PANGKALANSUSU#SUMATERA-PANTAI TIMUR
19,17,pli,17R2#17R1#17,KALIMANTAN-SOUTH COAST
20,17A,pli,17A#17A R1#17A R2#17A R3,KALIMANTAN-PANTAI SELATAN
21,18,pli,18#18R1#18R2,SUMATERA-EAST COAST
22,18A,pli,18A,SUMATERA-PANTAI TIMUR
23,19,pli,19R1#19,PELABUHAN BELAWAN#SUMATERA PANTAI TIMUR
24,20,pli,20R2#20R1#20R3,SUNGAI ASAHAN
25,21,pli,21#21R1,SUMATERA-PANTAI TIMUR
26,22,pli,22R1#22R2#22,MUARA SUNGAI MESUJI#MUARA SUNGAI TULANG BAWANG#MUARA SUNGAI TULANG BAWANG AND SUNGAI MESUJI
27,23,pli,23R1#23R2#23R3#23R4,BANGKARU PANTAI TENGGAR
28,24,pli,24#24R1,SUMATERA-PANTAI TIMUR
29,25,pli,25R1#25R2#25,PORT OF KRUENGGEUKEUH#PORT OF BLANGLANCANG#SUMATERA-NORTH COAST
30,25A,pli,25A,SUMATERA-NORTH COAST
31,26,pli,26R1#26R2#26,PELABUHAN MEULABOH#PELABUHAN SUSOH#SUMATERA-PANTAI BARAT
32,27,pli,27,SUMATERA-WEST COAST
33,28,pli,28,SUMATER- PANTAI BARAT
34,29,pli,29,SUMATERA -PANTAI BARAT
35,30,pli,30,SUMATERA-WEST COAST
36,31,pli,31,SUMATERA-PANTAI BARAT
37,32,pli,32R3#32R1#32R2#32,KANUHUYO HARBOUR#TELUK ENGGANO#BERTS SURROUND PULAU SATU#SUMATERA-WEST COAST
38,33,pli,33R2#33#33R1,PELABUHAN PULAU BAAI#SUMATERA-WEST COAST
39,34,pli,34R1#34R2#34#34R3,PORT OF MAJENE AND BALANGNIPA#MAMUJU BAY#SULAWESI-WESTERN COAST
40,35,pli,35,SELAT MAKASAR
41,36,pli,36R4#36R5#36R6#36R1#36R2#36R3#36R7#36R8#36R9#36R10#36R11#36R12,SULAWESI-NORTH COAST
42,37,pli,37,KALIMANTAN-PANTAI TIMUR
43,38,pli,38,NATUNA SEA
44,38A,pli,38A,NATUNA SEA
45,39,pli,39R1#39R2#39,PELABUHAN KHUSUS PT.PUPUK KALTIM DAN PELABUHAN LOKTUAN#PELABUHAN TANJUNG LAUT#KALIMANTAN-PANTAI TIMUR
46,39A,pli,39A,KALIMANTAN-PANTAI TIMUR
47,39B,pli,39B,KALIMANTAN-PANTAI TIMUR
48,39C,pli,39C,KALIMANTAN-PANTAI TIMUR
49,40,pli,40,SUMATERA-PANTAI TIMUR
50,41,pli,41,SUMATERA-EAST COAST
51,42,pli,42,PULAU-PULAU RIAU
52,43,pli,43R3#43R2#43R1#43,PELABUHAN RENGAT#SUNGAI INDRAGIRI#SUNGAI INDRAGIRI#SUMATERA-PANTAI TIMUR
53,44,pli,44R1#44R2#44,SEKUPANG PORT#BATUAMPAR PORT#PULAU PULAU RIAU
54,44A,pli,#N/A,PULAU PULAU RIAU - ALUR PELAYARAN SEKUPANG DAN BATU AMPAR
55,45,pli,45R4#45R1#45R2#45R3#45R5,PULAU-PULAU RIAU
56,45A,pli,45A,KEPULAUAN RIAU
57,46,pli,46,SUMATERA-EAST COAST
58,47,pli,47,PULAU-PULAU LINGGA (BAGIAN SELATAN)
59,48,pli,48R1#48R2#48R3#48#48Rc#48Rb#48Ra,PELABUHAN JAMBI#PELABUHAN MUARASABAK#LINTASAN DEKAT SUNGAI KELEMAK#SUMATERA-PANTAI TIMUR
60,48A,pli,48A R1#48A#48A R2#48A R3#48A R4#48A R5,SUNGAI TUNGKAL
61,49,pli,49R1#49R2#49R3#49,KABIL HARBOUR#TANJUNGUBAN HARBOUR#CITRANUSA AKBIL HARBOUR#PULAU-PULAU RIAU
62,49A,pli,49A#49A R1,BINTAN ISLAND-NORTHWEST COAST
63,50,pli,50R1#50R2#50R3#50R5#50R4#50R6,BELITUNG-EAST COAST
64,51,pli,51,SUMATERA-PANTAI TIMUR
65,52,pli,52R1#52R2#52,BANGKA-WEST COAST
66,53,pli,53R2#53#53R1,PANGKAL BALAM HARBOUR#PANGKALPINANG HARBOUR#APROACHES TO PANGKAL BALAM HARBOUR
67,54,pli,54,SULAWESI-SOUTH EAST COAST
68,55,pli,55,SULAWESI-SOUTHEAST COAST
69,56,pli,56R2#56R1,PELABUHAN KOBA DAN ALUR PELAYARAN SEBELAH TIMUR#PELABUHAN SUNGAILIAT
70,57,pli,57#57R1#57R2,KALIMANTAN-PANTAI TIMUR
71,58,pli,58,KALIMANTAN-PANTAI TIMUR
72,59,pli,59,KALIMANTAN-EAST COAST
73,59A,pli,59A,KALIMANTAN-PANTAI TIMUR
74,59B,pli,59B,KALIMANTAN-PANTAI TIMUR
75,60,pli,60R1#60,TELUK KLABAT#SUMATERA-EAST COAST
76,61,pli,61,PULAU BANGKA
77,62,pli,62R15#62R14#62R1#62R2#62R3#62R4#62R5#62R7#62R8#62R9#62R10#62R11#62R12#62R13#62R6#62,TELUK WORI#TELUK KORAKORA#TELUK DOMISIL#PALELEH AND LINTIDU HARBOUR#LOKODIDI AND TELUK LUOKODOKA#TELUK PINJANG#TELUK BUSAK#TALISEI HARBOUR#LINGADAN HARBOUR AND TELUK BELONLIOH#LIKUPANG HARBOUR#TELUK HIMANA#TELUK LABUHAN BROKO#TELUK BOLAANGUKI#KEMA HARBOUR#SUMALATA HARBOUR#SULAWESI NORTH COAST
78,63,pli,63,SELAT GELASA
79,64,pli,64R1#64R2#64,PULAU BELITUNG-WEST COAST
80,65,pli,65R1#65R2#65,SELAT KIJANG
81,66,pli,66,LAUT JAWA
82,67,pli,67R1#67,PELABUHAN TANJUNGBARA#KALIMANTAN-PANTAI TIMUR
83,68,pli,68,JAWA WEST PART
84,69,pli,69,JAWA
85,70,pli,70,JAWA EAST PART
86,70A,pli,70A,PULAU BAWEAN TO PULAU BALI
87,71,pli,71R1#71R2#71R3#71,SUMATERA-SOUTH COAST
88,71A,pli,71A,JAWA PANTAI BARAT
89,72,pli,72,SUMATERA-WEST COAST
90,73,pli,73R3#73R4#73R5#73R1#73R2,PULAU-PULAU BATU
91,74,pli,74,SUMATERA-PANTAI BARAT
92,75,pli,75R2#75R1,SUMATERA-PANTAI BARAT
93,76,pli,76,SUMATERA-PANTAI BARAT
94,77,pli,77,SUMATERA-PANTAI BARAT
95,78,pli,78,JAWA-NORTH COAST
96,79,pli,79R1#79R3#79#79R2,KARANG KARANG SEDULANG#PULAU BIAWAK#JAWA NORTH COAST
97,80,pli,80,JAWA-PANTAI UTARA
98,81,pli,81R1#81,TANJUNG BONANG HARBOUR
99,81A,pli,81A,JAWA-NORTH COAST
100,81B,pli,81B#81B R1,JAWA-BAGIAN TENGAH
